Location,RL,Date,Species ,Pass,PassTime,Count,TL,FL,W,Tag,Recap,Biop,Mortality,StreamW,Depletion
Plimpton,236,3-Oct-25,WCT,2,,1,,34,0.3,,,,,3.3,2
Plimpton,236,3-Oct-25,WCT,1,,1,,36,0.3,,,,,3.3,2
Buffalo,294,10-Oct-25,WCT,2,,1,,33,0.4,,,,,1.5,2
CLT,251,25-Sep-25,WCT,3,,1,,35,0.4,,,,,4.15,2
Buffalo,294,10-Oct-25,WCT,2,,1,,35,0.4,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,36,0.4,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,37,0.4,,,,,1.5,2
Jerry,250,9-Oct-25,WCT,3,,1,,38,0.4,,,,,2.25,2
Buffalo,294,10-Oct-25,WCT,1,,1,,40,0.4,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,41,0.4,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,3,,1,,35,0.5,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,36,0.5,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,2,,1,,38,0.5,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,2,,1,,38,0.5,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,3,,1,,44,0.5,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,3,,1,,36,0.6,,,,,1.5,2
CCT,261,9-Sep-25,WCT,1,,1,,41,0.6,,,,,1.8,2
Jerry,250,9-Oct-25,WCT,1,,1,,41,0.6,,,,,2.25,2
Jerry,250,9-Oct-25,WCT,2,,1,,42,0.6,,,,,2.25,2
CCT,261,9-Sep-25,WCT,2,,1,,43,0.6,,,,,1.8,2
Buffalo,294,10-Oct-25,WCT,3,,1,,44,0.6,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,44,0.6,,,,,1.5,2
CLT,251,25-Sep-25,WCT,1,,1,,43,0.7,,,,,4.15,2
Buffalo,294,10-Oct-25,WCT,2,,1,,43,0.7,,,,,1.5,2
Buffalo,294,10-Oct-25,WCT,1,,1,,44,0.7,,,,,1.5,2
CLT,251,25-Sep-25,WCT,2,,1,,42,0.8,,,,,4.15,2
CCT,261,9-Sep-25,WCT,1,,1,,44,0.8,,,,,1.8,2
CCT,261,9-Sep-25,WCT,2,,1,,44,0.8,,,,,1.8,2
CCT,261,9-Sep-25,WCT,2,,1,,46,0.8,,,,,1.8,2
CLT,251,30-Jun-25,WCT,1,3260,1,45,42,0.8,,,,,4.15,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,47,0.8,,,,mort,1.5,1
CCT,261,9-Sep-25,WCT,1,,1,,43,0.9,,,,,1.8,2
Buffalo,294,10-Oct-25,WCT,2,,1,,44,0.9,,,,,1.5,2
CCT,261,9-Sep-25,WCT,1,,1,,45,0.9,,,,,1.8,2
CCT,261,9-Sep-25,WCT,1,,1,,46,0.9,,,,,1.8,2
CCT,261,9-Sep-25,WCT,2,,1,,46,0.9,,,,,1.8,2
CCT,261,9-Sep-25,WCT,2,,1,,47,0.9,,,,,1.8,2
Pintler,205,2-Oct-25,WCT,1,,1,,47,0.9,,,,,5.9,2
CCT,261,9-Sep-25,WCT,1,,1,,48,0.9,,,,,1.8,2
CCT,261,9-Sep-25,WCT,1,,1,,47,1,,,,,1.8,2
Buffalo,294,15-Jul-25,WCT,1,,1,,45,1,,,,,1.5,1
CCT,261,9-Sep-25,WCT,1,,1,,41,1.1,,,,,1.8,2
CCT,261,9-Sep-25,WCT,2,,1,,48,1.1,,,,,1.8,2
Pintler,205,2-Oct-25,WCT,1,,1,,48,1.1,,,,,5.9,2
CCT,261,9-Sep-25,WCT,2,,1,,50,1.1,,,,,1.8,2
CCT,261,9-Sep-25,WCT,1,,1,,51,1.1,,,,,1.8,2
CCT,261,9-Sep-25,WCT,1,,1,,52,1.1,,,,,1.8,2
CCT,261,9-Sep-25,WCT,2,,1,,49,1.2,,,,,1.8,2
CCT,261,9-Sep-25,WCT,2,,1,,50,1.2,,,,,1.8,2
CCT,261,9-Sep-25,WCT,1,,1,,51,1.2,,,,,1.8,2
Buffalo,294,15-Jul-25,WCT,2,2951,1,,52,1.2,,,,mort,1.5,1
Cow,250,27-Sep-25,WCT,1,,1,,51,1.3,,,,,7.2,2
CLT,251,30-Jun-25,WCT,2,1971,1,55,53,1.3,,,,,4.15,1
Dry,210,9-Jul-25,WCT,2,,1,,50,1.3,,,,,3.3,1
Buffalo,294,15-Jul-25,WCT,3,2028,1,,48,1.3,,,,,1.5,1
CCT,261,9-Sep-25,WCT,2,,1,,53,1.4,,,,,1.8,2
CCT,261,9-Sep-25,WCT,2,,1,,54,1.4,,,,,1.8,2
CCT,261,9-Sep-25,WCT,2,,1,,55,1.4,,,,,1.8,2
Pintler,205,7-Jul-25,WCT,2,1282,1,,47,1.4,,,,,5.9,1
CCT,261,9-Sep-25,WCT,2,,1,,56,1.5,,,,,1.8,2
Pintler,205,7-Jul-25,WCT,2,1282,1,,55,1.5,,,,,5.9,1
Buffalo,294,15-Jul-25,WCT,1,,1,,48,1.5,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,1,,1,,50,1.5,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,1,,1,,53,1.5,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,1,,1,,53,1.5,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,52,1.5,,,,,1.5,1
Buffalo,294,15-Jul-25,WCT,2,2951,1,,54,1.5,,,,,1.5,1
Jerry,250,4-Aug-25,WCT,1,,1,,54,1.5,,,,,2.25,1
CCT,261,9-Sep-25,WCT,1,,1,,55,1.6,,,,,1.8,2
CCT,261,9-Sep-25,WCT,1,,1,,55,1.6,,,,,1.8,2
