MiniDOT Logger Concatenated Data File
Sensor:             7450-862983
Concatenation Date: 2026May26 15:29:35 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 2168.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1754576520,           2025-08-07 14:22:00,           2025-08-07 08:22:00,      3.550000,      8.009000,          8.923000,                    98.391767,      0.866000
                1754577120,           2025-08-07 14:32:00,           2025-08-07 08:32:00,      3.540000,      7.658000,          9.122000,                    99.716524,      0.866000
                1754577720,           2025-08-07 14:42:00,           2025-08-07 08:42:00,      3.540000,      7.629000,          9.168000,                   100.147262,      0.865000
                1754578320,           2025-08-07 14:52:00,           2025-08-07 08:52:00,      3.540000,      7.677000,          9.193000,                   100.540036,      0.865000
                1754578920,           2025-08-07 15:02:00,           2025-08-07 09:02:00,      3.540000,      7.753000,          9.207000,                   100.883023,      0.865000
                1754579520,           2025-08-07 15:12:00,           2025-08-07 09:12:00,      3.550000,      7.819000,          9.245000,                   101.465054,      0.865000
                1754580120,           2025-08-07 15:22:00,           2025-08-07 09:22:00,      3.540000,      7.923000,          9.219000,                   101.440161,      0.865000
                1754580720,           2025-08-07 15:32:00,           2025-08-07 09:32:00,      3.540000,      7.980000,          9.169000,                   101.032052,      0.865000
                1754581320,           2025-08-07 15:42:00,           2025-08-07 09:42:00,      3.540000,      8.103000,          9.175000,                   101.405113,      0.865000
                1754581920,           2025-08-07 15:52:00,           2025-08-07 09:52:00,      3.540000,      8.235000,          9.181000,                   101.801350,      0.864000
                1754582520,           2025-08-07 16:02:00,           2025-08-07 10:02:00,      3.540000,      8.320000,          9.154000,                   101.713955,      0.865000
                1754583120,           2025-08-07 16:12:00,           2025-08-07 10:12:00,      3.540000,      8.508000,          9.111000,                   101.703280,      0.865000
                1754583720,           2025-08-07 16:22:00,           2025-08-07 10:22:00,      3.540000,      8.639000,          9.086000,                   101.749173,      0.864000
                1754584320,           2025-08-07 16:32:00,           2025-08-07 10:32:00,      3.540000,      8.779000,          9.070000,                   101.917001,      0.864000
                1754584920,           2025-08-07 16:42:00,           2025-08-07 10:42:00,      3.540000,      8.909000,          9.055000,                   102.070436,      0.864000
                1754585520,           2025-08-07 16:52:00,           2025-08-07 10:52:00,      3.540000,      9.021000,          9.041000,                   102.189831,      0.864000
                1754586120,           2025-08-07 17:02:00,           2025-08-07 11:02:00,      3.540000,      9.244000,          9.032000,                   102.640128,      0.864000
                1754586720,           2025-08-07 17:12:00,           2025-08-07 11:12:00,      3.540000,      9.475000,          8.999000,                   102.835738,      0.864000
                1754587320,           2025-08-07 17:22:00,           2025-08-07 11:22:00,      3.530000,      9.705000,          8.992000,                   103.324345,      0.864000
                1754587920,           2025-08-07 17:32:00,           2025-08-07 11:32:00,      3.530000,      9.999000,          8.969000,                   103.786298,      0.864000
                1754588520,           2025-08-07 17:42:00,           2025-08-07 11:42:00,      3.540000,     10.282000,          8.979000,                   104.603208,      0.863000
                1754589120,           2025-08-07 17:52:00,           2025-08-07 11:52:00,      3.540000,     10.546000,          8.958000,                   105.012332,      0.864000
                1754589720,           2025-08-07 18:02:00,           2025-08-07 12:02:00,      3.530000,     10.718000,          8.894000,                   104.685578,      0.863000
                1754590320,           2025-08-07 18:12:00,           2025-08-07 12:12:00,      3.530000,     10.881000,          8.806000,                   104.047592,      0.864000
                1754590920,           2025-08-07 18:22:00,           2025-08-07 12:22:00,      3.530000,     10.972000,          8.691000,                   102.908174,      0.863000
                1754591520,           2025-08-07 18:32:00,           2025-08-07 12:32:00,      3.530000,     11.017000,          8.544000,                   101.274271,      0.863000
                1754592120,           2025-08-07 18:42:00,           2025-08-07 12:42:00,      3.530000,     11.053000,          8.474000,                   100.529218,      0.863000
                1754592720,           2025-08-07 18:52:00,           2025-08-07 12:52:00,      3.530000,     11.107000,          8.432000,                   100.157383,      0.862000
                1754593320,           2025-08-07 19:02:00,           2025-08-07 13:02:00,      3.530000,     11.143000,          8.453000,                   100.491341,      0.863000
                1754593920,           2025-08-07 19:12:00,           2025-08-07 13:12:00,      3.530000,     11.170000,          8.537000,                   101.553982,      0.863000
                1754594520,           2025-08-07 19:22:00,           2025-08-07 13:22:00,      3.530000,     11.134000,          8.545000,                   101.563699,      0.863000
                1754595120,           2025-08-07 19:32:00,           2025-08-07 13:32:00,      3.530000,     11.152000,          8.627000,                   102.581462,      0.863000
                1754595720,           2025-08-07 19:42:00,           2025-08-07 13:42:00,      3.530000,     11.170000,          8.631000,                   102.672182,      0.863000
                1754596320,           2025-08-07 19:52:00,           2025-08-07 13:52:00,      3.530000,     11.287000,          8.671000,                   103.429957,      0.863000
                1754596920,           2025-08-07 20:02:00,           2025-08-07 14:02:00,      3.530000,     11.475000,          8.662000,                   103.775615,      0.863000
                1754597520,           2025-08-07 20:12:00,           2025-08-07 14:12:00,      3.530000,     11.690000,          8.666000,                   104.342516,      0.863000
                1754598120,           2025-08-07 20:22:00,           2025-08-07 14:22:00,      3.530000,     11.752000,          8.601000,                   103.708554,      0.863000
                1754598720,           2025-08-07 20:32:00,           2025-08-07 14:32:00,      3.530000,     11.949000,          8.556000,                   103.636248,      0.862000
