MiniDOT Logger Concatenated Data File
Sensor:             7392-572538
Concatenation Date: 2026May26 15:30:32 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 2188.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1755124080,           2025-08-13 22:28:00,           2025-08-13 16:28:00,      3.540000,     20.598000,          8.124000,                   118.846767,      0.982000
                1755124680,           2025-08-13 22:38:00,           2025-08-13 16:38:00,      3.540000,     19.046000,          8.346000,                   118.292719,      0.988000
                1755125280,           2025-08-13 22:48:00,           2025-08-13 16:48:00,      3.530000,     18.625000,          8.369000,                   117.590721,      0.990000
                1755125880,           2025-08-13 22:58:00,           2025-08-13 16:58:00,      3.530000,     18.617000,          8.345000,                   117.234050,      0.990000
                1755126480,           2025-08-13 23:08:00,           2025-08-13 17:08:00,      3.530000,     18.592000,          8.268000,                   116.092096,      0.991000
                1755127080,           2025-08-13 23:18:00,           2025-08-13 17:18:00,      3.530000,     18.634000,          8.251000,                   115.954372,      0.991000
                1755127680,           2025-08-13 23:28:00,           2025-08-13 17:28:00,      3.530000,     19.021000,          8.247000,                   116.829309,      0.991000
                1755128280,           2025-08-13 23:38:00,           2025-08-13 17:38:00,      3.530000,     19.038000,          8.236000,                   116.714378,      0.991000
                1755128880,           2025-08-13 23:48:00,           2025-08-13 17:48:00,      3.530000,     19.155000,          8.178000,                   116.172049,      0.992000
                1755129480,           2025-08-13 23:58:00,           2025-08-13 17:58:00,      3.530000,     19.231000,          8.093000,                   115.144426,      0.990000
                1755130080,           2025-08-14 00:08:00,           2025-08-13 18:08:00,      3.530000,     19.214000,          8.035000,                   114.279276,      0.992000
                1755130680,           2025-08-14 00:18:00,           2025-08-13 18:18:00,      3.530000,     19.122000,          7.997000,                   113.523729,      0.991000
                1755131280,           2025-08-14 00:28:00,           2025-08-13 18:28:00,      3.530000,     19.054000,          7.923000,                   112.315811,      0.991000
                1755131880,           2025-08-14 00:38:00,           2025-08-13 18:38:00,      3.530000,     18.979000,          7.867000,                   111.349625,      0.991000
                1755132480,           2025-08-14 00:48:00,           2025-08-13 18:48:00,      3.530000,     18.853000,          7.720000,                   108.985043,      0.991000
                1755133080,           2025-08-14 00:58:00,           2025-08-13 18:58:00,      3.530000,     18.701000,          7.653000,                   107.699909,      0.992000
                1755133680,           2025-08-14 01:08:00,           2025-08-13 19:08:00,      3.530000,     18.507000,          7.496000,                   105.066756,      0.990000
                1755134280,           2025-08-14 01:18:00,           2025-08-13 19:18:00,      3.530000,     18.212000,          7.346000,                   102.333811,      0.991000
                1755134880,           2025-08-14 01:28:00,           2025-08-13 19:28:00,      3.530000,     17.993000,          7.231000,                   100.271769,      0.991000
                1755135480,           2025-08-14 01:38:00,           2025-08-13 19:38:00,      3.530000,     17.816000,          7.103000,                    98.132006,      0.991000
                1755136080,           2025-08-14 01:48:00,           2025-08-13 19:48:00,      3.530000,     17.706000,          7.032000,                    96.926848,      0.991000
                1755136680,           2025-08-14 01:58:00,           2025-08-13 19:58:00,      3.530000,     17.587000,          6.996000,                    96.189441,      0.992000
                1755137280,           2025-08-14 02:08:00,           2025-08-13 20:08:00,      3.530000,     17.486000,          6.878000,                    94.365906,      0.991000
                1755137880,           2025-08-14 02:18:00,           2025-08-13 20:18:00,      3.530000,     17.367000,          6.787000,                    92.883704,      0.992000
                1755138480,           2025-08-14 02:28:00,           2025-08-13 20:28:00,      3.520000,     17.291000,          6.683000,                    91.313535,      0.991000
                1755139080,           2025-08-14 02:38:00,           2025-08-13 20:38:00,      3.530000,     17.087000,          6.677000,                    90.837994,      0.991000
                1755139680,           2025-08-14 02:48:00,           2025-08-13 20:48:00,      3.520000,     16.935000,          6.637000,                    90.002632,      0.991000
                1755140280,           2025-08-14 02:58:00,           2025-08-13 20:58:00,      3.520000,     16.773000,          6.580000,                    88.922286,      0.991000
                1755140880,           2025-08-14 03:08:00,           2025-08-13 21:08:00,      3.520000,     16.663000,          6.566000,                    88.524984,      0.992000
                1755141480,           2025-08-14 03:18:00,           2025-08-13 21:18:00,      3.520000,     16.509000,          6.529000,                    87.736656,      0.992000
                1755142080,           2025-08-14 03:28:00,           2025-08-13 21:28:00,      3.520000,     16.373000,          6.447000,                    86.382521,      0.992000
                1755142680,           2025-08-14 03:38:00,           2025-08-13 21:38:00,      3.520000,     16.220000,          6.430000,                    85.871984,      0.992000
                1755143280,           2025-08-14 03:48:00,           2025-08-13 21:48:00,      3.520000,     16.083000,          6.405000,                    85.286124,      0.991000
                1755143880,           2025-08-14 03:58:00,           2025-08-13 21:58:00,      3.520000,     15.972000,          6.394000,                    84.935988,      0.992000
                1755144480,           2025-08-14 04:08:00,           2025-08-13 22:08:00,      3.520000,     15.843000,          6.364000,                    84.302064,      0.992000
                1755145080,           2025-08-14 04:18:00,           2025-08-13 22:18:00,      3.520000,     15.749000,          6.364000,                    84.130636,      0.992000
                1755145680,           2025-08-14 04:28:00,           2025-08-13 22:28:00,      3.520000,     15.612000,          6.352000,                    83.722792,      0.992000
                1755146280,           2025-08-14 04:38:00,           2025-08-13 22:38:00,      3.520000,     15.501000,          6.317000,                    83.060822,      0.992000
                1755146880,           2025-08-14 04:48:00,           2025-08-13 22:48:00,      3.520000,     15.380000,          6.272000,                    82.252107,      0.992000
                1755147480,           2025-08-14 04:58:00,           2025-08-13 22:58:00,      3.520000,     15.303000,          6.284000,                    82.271191,      0.991000
                1755148080,           2025-08-14 05:08:00,           2025-08-13 23:08:00,      3.520000,     15.166000,          6.291000,                    82.116677,      0.992000
                1755148680,           2025-08-14 05:18:00,           2025-08-13 23:18:00,      3.520000,     15.045000,          6.272000,                    81.652081,      0.992000
                1755149280,           2025-08-14 05:28:00,           2025-08-13 23:28:00,      3.520000,     14.907000,          6.280000,                    81.509088,      0.992000
                1755149880,           2025-08-14 05:38:00,           2025-08-13 23:38:00,      3.520000,     14.803000,          6.267000,                    81.154627,      0.991000
                1755150480,           2025-08-14 05:48:00,           2025-08-13 23:48:00,      3.510000,     14.700000,          6.308000,                    81.500523,      0.991000
                1755151080,           2025-08-14 05:58:00,           2025-08-13 23:58:00,      3.510000,     14.561000,          6.270000,                    80.761533,      0.991000
                1755151680,           2025-08-14 06:08:00,           2025-08-14 00:08:00,      3.510000,     14.432000,          6.247000,                    80.236128,      0.992000
                1755152280,           2025-08-14 06:18:00,           2025-08-14 00:18:00,      3.510000,     14.319000,          6.301000,                    80.727384,      0.991000
                1755152880,           2025-08-14 06:28:00,           2025-08-14 00:28:00,      3.510000,     14.197000,          6.262000,                    80.010797,      0.992000
                1755153480,           2025-08-14 06:38:00,           2025-08-14 00:38:00,      3.510000,     14.084000,          6.250000,                    79.657076,      0.991000
                1755154080,           2025-08-14 06:48:00,           2025-08-14 00:48:00,      3.510000,     13.980000,          6.256000,                    79.549056,      0.992000
                1755154680,           2025-08-14 06:58:00,           2025-08-14 00:58:00,      3.510000,     13.867000,          6.308000,                    80.008280,      0.992000
                1755155280,           2025-08-14 07:08:00,           2025-08-14 01:08:00,      3.510000,     13.727000,          6.333000,                    80.074318,      0.992000
                1755155880,           2025-08-14 07:18:00,           2025-08-14 01:18:00,      3.510000,     13.649000,          6.358000,                    80.250087,      0.992000
                1755156480,           2025-08-14 07:28:00,           2025-08-14 01:28:00,      3.510000,     13.526000,          6.321000,                    79.563208,      0.992000
                1755157080,           2025-08-14 07:38:00,           2025-08-14 01:38:00,      3.510000,     13.421000,          6.347000,                    79.702140,      0.992000
                1755157680,           2025-08-14 07:48:00,           2025-08-14 01:48:00,      3.510000,     13.325000,          6.355000,                    79.630297,      0.992000
                1755158280,           2025-08-14 07:58:00,           2025-08-14 01:58:00,      3.510000,     13.246000,          6.292000,                    78.700577,      0.993000
                1755158880,           2025-08-14 08:08:00,           2025-08-14 02:08:00,      3.510000,     13.132000,          6.270000,                    78.223756,      0.992000
                1755159480,           2025-08-14 08:18:00,           2025-08-14 02:18:00,      3.510000,     13.044000,          6.277000,                    78.155355,      0.992000
                1755160080,           2025-08-14 08:28:00,           2025-08-14 02:28:00,      3.510000,     12.956000,          6.269000,                    77.900297,      0.993000
                1755160680,           2025-08-14 08:38:00,           2025-08-14 02:38:00,      3.500000,     12.859000,          6.263000,                    77.654653,      0.993000
                1755161280,           2025-08-14 08:48:00,           2025-08-14 02:48:00,      3.500000,     12.762000,          6.269000,                    77.557900,      0.992000
                1755161880,           2025-08-14 08:58:00,           2025-08-14 02:58:00,      3.500000,     12.700000,          6.320000,                    78.078626,      0.993000
                1755162480,           2025-08-14 09:08:00,           2025-08-14 03:08:00,      3.500000,     12.630000,          6.324000,                    78.003563,      0.992000
                1755163080,           2025-08-14 09:18:00,           2025-08-14 03:18:00,      3.500000,     12.541000,          6.293000,                    77.463779,      0.992000
                1755163680,           2025-08-14 09:28:00,           2025-08-14 03:28:00,      3.500000,     12.453000,          6.302000,                    77.418784,      0.993000
                1755164280,           2025-08-14 09:38:00,           2025-08-14 03:38:00,      3.500000,     12.338000,          6.301000,                    77.203082,      0.992000
                1755164880,           2025-08-14 09:48:00,           2025-08-14 03:48:00,      3.500000,     12.293000,          6.345000,                    77.662080,      0.992000
                1755165480,           2025-08-14 09:58:00,           2025-08-14 03:58:00,      3.500000,     12.222000,          6.337000,                    77.437964,      0.993000
                1755166080,           2025-08-14 10:08:00,           2025-08-14 04:08:00,      3.500000,     12.107000,          6.360000,                    77.514000,      0.992000
                1755166680,           2025-08-14 10:18:00,           2025-08-14 04:18:00,      3.500000,     12.062000,          6.383000,                    77.713841,      0.993000
                1755167280,           2025-08-14 10:28:00,           2025-08-14 04:28:00,      3.500000,     11.973000,          6.368000,                    77.372490,      0.992000
                1755167880,           2025-08-14 10:38:00,           2025-08-14 04:38:00,      3.500000,     11.884000,          6.373000,                    77.274482,      0.992000
                1755168480,           2025-08-14 10:48:00,           2025-08-14 04:48:00,      3.500000,     11.804000,          6.375000,                    77.156060,      0.992000
                1755169080,           2025-08-14 10:58:00,           2025-08-14 04:58:00,      3.500000,     11.741000,          6.386000,                    77.176694,      0.993000
                1755169680,           2025-08-14 11:08:00,           2025-08-14 05:08:00,      3.500000,     11.679000,          6.385000,                    77.053958,      0.993000
                1755170280,           2025-08-14 11:18:00,           2025-08-14 05:18:00,      3.500000,     11.571000,          6.402000,                    77.065957,      0.992000
                1755170880,           2025-08-14 11:28:00,           2025-08-14 05:28:00,      3.490000,     11.500000,          6.326000,                    76.025682,      0.994000
                1755171480,           2025-08-14 11:38:00,           2025-08-14 05:38:00,      3.500000,     11.437000,          6.174000,                    74.090398,      0.992000
                1755172080,           2025-08-14 11:48:00,           2025-08-14 05:48:00,      3.490000,     11.356000,          6.294000,                    75.388229,      0.992000
                1755172680,           2025-08-14 11:58:00,           2025-08-14 05:58:00,      3.500000,     11.284000,          6.092000,                    72.846419,      0.992000
                1755173280,           2025-08-14 12:08:00,           2025-08-14 06:08:00,      3.490000,     11.230000,          6.039000,                    72.121772,      0.992000
                1755173880,           2025-08-14 12:18:00,           2025-08-14 06:18:00,      3.490000,     11.131000,          6.101000,                    72.693963,      0.992000
                1755174480,           2025-08-14 12:28:00,           2025-08-14 06:28:00,      3.490000,     11.077000,          6.028000,                    71.733529,      0.993000
                1755175080,           2025-08-14 12:38:00,           2025-08-14 06:38:00,      3.490000,     11.005000,          5.889000,                    69.961413,      0.992000
                1755175680,           2025-08-14 12:48:00,           2025-08-14 06:48:00,      3.490000,     10.942000,          5.958000,                    70.676712,      0.992000
                1755176280,           2025-08-14 12:58:00,           2025-08-14 06:58:00,      3.490000,     10.869000,          5.968000,                    70.674191,      0.991000
                1755176880,           2025-08-14 13:08:00,           2025-08-14 07:08:00,      3.490000,     10.824000,          5.879000,                    69.546699,      0.991000
                1755177480,           2025-08-14 13:18:00,           2025-08-14 07:18:00,      3.490000,     10.788000,          5.978000,                    70.658033,      0.992000
                1755178080,           2025-08-14 13:28:00,           2025-08-14 07:28:00,      3.490000,     10.706000,          6.223000,                    73.412104,      0.991000
                1755178680,           2025-08-14 13:38:00,           2025-08-14 07:38:00,      3.490000,     10.697000,          6.402000,                    75.507748,      0.992000
                1755179280,           2025-08-14 13:48:00,           2025-08-14 07:48:00,      3.490000,     10.643000,          6.123000,                    72.125309,      0.992000
                1755179880,           2025-08-14 13:58:00,           2025-08-14 07:58:00,      3.480000,     10.616000,          5.683000,                    66.899779,      0.992000
                1755180480,           2025-08-14 14:08:00,           2025-08-14 08:08:00,      3.490000,     10.589000,          5.915000,                    69.586541,      0.993000
                1755181080,           2025-08-14 14:18:00,           2025-08-14 08:18:00,      3.490000,     10.616000,          6.227000,                    73.303699,      0.992000
                1755181680,           2025-08-14 14:28:00,           2025-08-14 08:28:00,      3.490000,     10.616000,          5.729000,                    67.441287,      0.991000
                1755182280,           2025-08-14 14:38:00,           2025-08-14 08:38:00,      3.480000,     10.643000,          5.874000,                    69.192237,      0.992000
                1755182880,           2025-08-14 14:48:00,           2025-08-14 08:48:00,      3.480000,     10.706000,          6.208000,                    73.235150,      0.992000
                1755183480,           2025-08-14 14:58:00,           2025-08-14 08:58:00,      3.480000,     10.752000,          6.153000,                    72.664935,      0.992000
                1755184080,           2025-08-14 15:08:00,           2025-08-14 09:08:00,      3.480000,     10.779000,          6.613000,                    78.146991,      0.993000
                1755184680,           2025-08-14 15:18:00,           2025-08-14 09:18:00,      3.480000,     10.842000,          6.768000,                    80.097146,      0.993000
                1755185280,           2025-08-14 15:28:00,           2025-08-14 09:28:00,      3.480000,     10.887000,          6.896000,                    81.698254,      0.992000
                1755185880,           2025-08-14 15:38:00,           2025-08-14 09:38:00,      3.480000,     10.951000,          5.940000,                    70.478057,      0.992000
                1755186480,           2025-08-14 15:48:00,           2025-08-14 09:48:00,      3.480000,     11.023000,          6.636000,                    78.869023,      0.993000
                1755187080,           2025-08-14 15:58:00,           2025-08-14 09:58:00,      3.480000,     11.113000,          6.541000,                    77.903817,      0.992000
