MiniDOT Logger Concatenated Data File
Sensor:             7392-211423
Concatenation Date: 2026May26 15:30:52 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 2138.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1755111060,           2025-08-13 18:51:00,           2025-08-13 12:51:00,      3.530000,     14.229000,          7.743000,                    98.376291,      0.983000
                1755111660,           2025-08-13 19:01:00,           2025-08-13 13:01:00,      3.530000,     12.767000,          7.987000,                    98.198118,      0.992000
                1755112260,           2025-08-13 19:11:00,           2025-08-13 13:11:00,      3.530000,     12.626000,          8.020000,                    98.287925,      0.995000
                1755112860,           2025-08-13 19:21:00,           2025-08-13 13:21:00,      3.520000,     12.767000,          7.994000,                    98.284181,      0.996000
                1755113460,           2025-08-13 19:31:00,           2025-08-13 13:31:00,      3.520000,     12.864000,          7.995000,                    98.513292,      0.996000
                1755114060,           2025-08-13 19:41:00,           2025-08-13 13:41:00,      3.520000,     13.067000,          7.956000,                    98.484692,      0.996000
                1755114660,           2025-08-13 19:51:00,           2025-08-13 13:51:00,      3.520000,     13.207000,          7.928000,                    98.449010,      0.996000
                1755115260,           2025-08-13 20:01:00,           2025-08-13 14:01:00,      3.520000,     13.321000,          7.898000,                    98.328889,      0.996000
                1755115860,           2025-08-13 20:11:00,           2025-08-13 14:11:00,      3.520000,     13.383000,          7.898000,                    98.466241,      0.997000
                1755116460,           2025-08-13 20:21:00,           2025-08-13 14:21:00,      3.520000,     13.488000,          7.870000,                    98.349065,      0.996000
                1755117060,           2025-08-13 20:31:00,           2025-08-13 14:31:00,      3.520000,     13.567000,          7.847000,                    98.235709,      0.996000
                1755117660,           2025-08-13 20:41:00,           2025-08-13 14:41:00,      3.520000,     13.689000,          7.822000,                    98.190859,      0.997000
                1755118260,           2025-08-13 20:51:00,           2025-08-13 14:51:00,      3.520000,     13.785000,          7.770000,                    97.747811,      0.996000
                1755118860,           2025-08-13 21:01:00,           2025-08-13 15:01:00,      3.520000,     13.855000,          7.755000,                    97.711809,      0.997000
                1755119460,           2025-08-13 21:11:00,           2025-08-13 15:11:00,      3.520000,     13.907000,          7.716000,                    97.333320,      0.997000
                1755120060,           2025-08-13 21:21:00,           2025-08-13 15:21:00,      3.510000,     13.942000,          7.709000,                    97.320964,      0.997000
                1755120660,           2025-08-13 21:31:00,           2025-08-13 15:31:00,      3.510000,     13.933000,          7.700000,                    97.187837,      0.997000
                1755121260,           2025-08-13 21:41:00,           2025-08-13 15:41:00,      3.510000,     13.898000,          7.691000,                    96.998478,      0.997000
                1755121860,           2025-08-13 21:51:00,           2025-08-13 15:51:00,      3.510000,     13.794000,          7.687000,                    96.723116,      0.997000
                1755122460,           2025-08-13 22:01:00,           2025-08-13 16:01:00,      3.510000,     13.698000,          7.691000,                    96.565850,      0.997000
                1755123060,           2025-08-13 22:11:00,           2025-08-13 16:11:00,      3.510000,     13.671000,          7.671000,                    96.256524,      0.996000
                1755123660,           2025-08-13 22:21:00,           2025-08-13 16:21:00,      3.510000,     13.628000,          7.678000,                    96.251586,      0.997000
                1755124260,           2025-08-13 22:31:00,           2025-08-13 16:31:00,      3.510000,     13.593000,          7.667000,                    96.038302,      0.997000
                1755124860,           2025-08-13 22:41:00,           2025-08-13 16:41:00,      3.510000,     13.540000,          7.661000,                    95.849105,      0.997000
                1755125460,           2025-08-13 22:51:00,           2025-08-13 16:51:00,      3.510000,     13.462000,          7.665000,                    95.731298,      0.996000
                1755126060,           2025-08-13 23:01:00,           2025-08-13 17:01:00,      3.510000,     13.356000,          7.679000,                    95.677754,      0.997000
                1755126660,           2025-08-13 23:11:00,           2025-08-13 17:11:00,      3.510000,     13.313000,          7.645000,                    95.161926,      0.996000
                1755127260,           2025-08-13 23:21:00,           2025-08-13 17:21:00,      3.510000,     13.216000,          7.653000,                    95.053394,      0.997000
                1755127860,           2025-08-13 23:31:00,           2025-08-13 17:31:00,      3.500000,     13.128000,          7.653000,                    94.864697,      0.997000
                1755128460,           2025-08-13 23:41:00,           2025-08-13 17:41:00,      3.500000,     13.084000,          7.645000,                    94.671319,      0.997000
                1755129060,           2025-08-13 23:51:00,           2025-08-13 17:51:00,      3.500000,     13.049000,          7.652000,                    94.683011,      0.998000
                1755129660,           2025-08-14 00:01:00,           2025-08-13 18:01:00,      3.500000,     12.988000,          7.638000,                    94.379358,      0.996000
                1755130260,           2025-08-14 00:11:00,           2025-08-13 18:11:00,      3.500000,     12.917000,          7.653000,                    94.412667,      0.997000
                1755130860,           2025-08-14 00:21:00,           2025-08-13 18:21:00,      3.500000,     12.864000,          7.655000,                    94.323859,      0.997000
                1755131460,           2025-08-14 00:31:00,           2025-08-13 18:31:00,      3.500000,     12.847000,          7.630000,                    93.979540,      0.997000
                1755132060,           2025-08-14 00:41:00,           2025-08-13 18:41:00,      3.500000,     12.776000,          7.654000,                    94.123222,      0.998000
                1755132660,           2025-08-14 00:51:00,           2025-08-13 18:51:00,      3.500000,     12.723000,          7.654000,                    94.009855,      0.997000
                1755133260,           2025-08-14 01:01:00,           2025-08-13 19:01:00,      3.500000,     12.696000,          7.640000,                    93.780267,      0.997000
                1755133860,           2025-08-14 01:11:00,           2025-08-13 19:11:00,      3.500000,     12.643000,          7.653000,                    93.826544,      0.997000
                1755134460,           2025-08-14 01:21:00,           2025-08-13 19:21:00,      3.500000,     12.590000,          7.651000,                    93.688793,      0.997000
                1755135060,           2025-08-14 01:31:00,           2025-08-13 19:31:00,      3.500000,     12.573000,          7.641000,                    93.530076,      0.997000
                1755135660,           2025-08-14 01:41:00,           2025-08-13 19:41:00,      3.500000,     12.520000,          7.652000,                    93.551526,      0.997000
                1755136260,           2025-08-14 01:51:00,           2025-08-13 19:51:00,      3.490000,     12.475000,          7.655000,                    93.492085,      0.998000
                1755136860,           2025-08-14 02:01:00,           2025-08-13 20:01:00,      3.500000,     12.413000,          7.652000,                    93.323112,      0.997000
                1755137460,           2025-08-14 02:11:00,           2025-08-13 20:11:00,      3.490000,     12.360000,          7.667000,                    93.392745,      0.997000
                1755138060,           2025-08-14 02:21:00,           2025-08-13 20:21:00,      3.490000,     12.333000,          7.655000,                    93.188955,      0.998000
                1755138660,           2025-08-14 02:31:00,           2025-08-13 20:31:00,      3.490000,     12.271000,          7.656000,                    93.068842,      0.997000
                1755139260,           2025-08-14 02:41:00,           2025-08-13 20:41:00,      3.490000,     12.227000,          7.647000,                    92.865696,      0.997000
                1755139860,           2025-08-14 02:51:00,           2025-08-13 20:51:00,      3.490000,     12.156000,          7.657000,                    92.835732,      0.997000
                1755140460,           2025-08-14 03:01:00,           2025-08-13 21:01:00,      3.490000,     12.102000,          7.654000,                    92.684297,      0.997000
                1755141060,           2025-08-14 03:11:00,           2025-08-13 21:11:00,      3.490000,     12.049000,          7.658000,                    92.619781,      0.997000
                1755141660,           2025-08-14 03:21:00,           2025-08-13 21:21:00,      3.490000,     11.996000,          7.673000,                    92.688062,      0.997000
                1755142260,           2025-08-14 03:31:00,           2025-08-13 21:31:00,      3.490000,     11.933000,          7.698000,                    92.855184,      0.998000
                1755142860,           2025-08-14 03:41:00,           2025-08-13 21:41:00,      3.490000,     11.933000,          7.672000,                    92.541565,      0.997000
                1755143460,           2025-08-14 03:51:00,           2025-08-13 21:51:00,      3.490000,     11.871000,          7.704000,                    92.794775,      0.998000
                1755144060,           2025-08-14 04:01:00,           2025-08-13 22:01:00,      3.490000,     11.799000,          7.716000,                    92.784941,      0.998000
                1755144660,           2025-08-14 04:11:00,           2025-08-13 22:11:00,      3.490000,     11.772000,          7.726000,                    92.847243,      0.998000
                1755145260,           2025-08-14 04:21:00,           2025-08-13 22:21:00,      3.490000,     11.737000,          7.711000,                    92.592024,      0.997000
                1755145860,           2025-08-14 04:31:00,           2025-08-13 22:31:00,      3.490000,     11.692000,          7.718000,                    92.579643,      0.997000
                1755146460,           2025-08-14 04:41:00,           2025-08-13 22:41:00,      3.490000,     11.647000,          7.739000,                    92.734874,      0.998000
                1755147060,           2025-08-14 04:51:00,           2025-08-13 22:51:00,      3.490000,     11.585000,          7.762000,                    92.876937,      0.998000
                1755147660,           2025-08-14 05:01:00,           2025-08-13 23:01:00,      3.490000,     11.531000,          7.761000,                    92.748720,      0.998000
                1755148260,           2025-08-14 05:11:00,           2025-08-13 23:11:00,      3.490000,     11.486000,          7.759000,                    92.627997,      0.997000
                1755148860,           2025-08-14 05:21:00,           2025-08-13 23:21:00,      3.490000,     11.450000,          7.780000,                    92.801051,      0.998000
                1755149460,           2025-08-14 05:31:00,           2025-08-13 23:31:00,      3.480000,     11.405000,          7.778000,                    92.680187,      0.998000
                1755150060,           2025-08-14 05:41:00,           2025-08-13 23:41:00,      3.480000,     11.342000,          7.799000,                    92.794284,      0.998000
                1755150660,           2025-08-14 05:51:00,           2025-08-13 23:51:00,      3.480000,     11.297000,          7.789000,                    92.578224,      0.997000
                1755151260,           2025-08-14 06:01:00,           2025-08-14 00:01:00,      3.480000,     11.234000,          7.812000,                    92.715332,      0.997000
                1755151860,           2025-08-14 06:11:00,           2025-08-14 00:11:00,      3.480000,     11.162000,          7.828000,                    92.749243,      0.998000
                1755152460,           2025-08-14 06:21:00,           2025-08-14 00:21:00,      3.480000,     11.126000,          7.824000,                    92.623925,      0.997000
                1755153060,           2025-08-14 06:31:00,           2025-08-14 00:31:00,      3.480000,     11.081000,          7.842000,                    92.739413,      0.998000
                1755153660,           2025-08-14 06:41:00,           2025-08-14 00:41:00,      3.480000,     11.027000,          7.840000,                    92.598703,      0.997000
                1755154260,           2025-08-14 06:51:00,           2025-08-14 00:51:00,      3.480000,     10.964000,          7.849000,                    92.568330,      0.997000
                1755154860,           2025-08-14 07:01:00,           2025-08-14 01:01:00,      3.480000,     10.928000,          7.865000,                    92.678796,      0.997000
                1755155460,           2025-08-14 07:11:00,           2025-08-14 01:11:00,      3.480000,     10.864000,          7.876000,                    92.669187,      0.997000
                1755156060,           2025-08-14 07:21:00,           2025-08-14 01:21:00,      3.480000,     10.819000,          7.891000,                    92.747629,      0.998000
