MiniDOT Logger Concatenated Data File
Sensor:             7450-898816
Concatenation Date: 2026May26 15:31:39 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 2110.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1754512500,           2025-08-06 20:35:00,           2025-08-06 14:35:00,      3.520000,     11.992000,          8.035000,                    96.708184,      0.889000
                1754513100,           2025-08-06 20:45:00,           2025-08-06 14:45:00,      3.520000,     11.465000,          8.191000,                    97.391555,      0.891000
                1754513700,           2025-08-06 20:55:00,           2025-08-06 14:55:00,      3.520000,     11.421000,          8.210000,                    97.517708,      0.891000
                1754514300,           2025-08-06 21:05:00,           2025-08-06 15:05:00,      3.520000,     11.483000,          8.188000,                    97.396594,      0.890000
                1754514900,           2025-08-06 21:15:00,           2025-08-06 15:15:00,      3.520000,     11.510000,          8.161000,                    97.136298,      0.890000
                1754515500,           2025-08-06 21:25:00,           2025-08-06 15:25:00,      3.520000,     11.627000,          8.144000,                    97.197300,      0.890000
                1754516100,           2025-08-06 21:35:00,           2025-08-06 15:35:00,      3.510000,     11.698000,          8.173000,                    97.703882,      0.890000
                1754516700,           2025-08-06 21:45:00,           2025-08-06 15:45:00,      3.510000,     11.770000,          8.131000,                    97.363762,      0.890000
                1754517300,           2025-08-06 21:55:00,           2025-08-06 15:55:00,      3.510000,     11.832000,          8.079000,                    96.879733,      0.890000
                1754517900,           2025-08-06 22:05:00,           2025-08-06 16:05:00,      3.510000,     11.877000,          8.061000,                    96.764320,      0.890000
                1754518500,           2025-08-06 22:15:00,           2025-08-06 16:15:00,      3.510000,     11.912000,          8.033000,                    96.506072,      0.890000
                1754519100,           2025-08-06 22:25:00,           2025-08-06 16:25:00,      3.510000,     11.975000,          8.018000,                    96.465804,      0.890000
                1754519700,           2025-08-06 22:35:00,           2025-08-06 16:35:00,      3.510000,     12.055000,          7.980000,                    96.185554,      0.890000
                1754520300,           2025-08-06 22:45:00,           2025-08-06 16:45:00,      3.510000,     12.090000,          7.931000,                    95.671903,      0.890000
                1754520900,           2025-08-06 22:55:00,           2025-08-06 16:55:00,      3.510000,     12.126000,          7.897000,                    95.340598,      0.890000
                1754521500,           2025-08-06 23:05:00,           2025-08-06 17:05:00,      3.510000,     12.135000,          7.887000,                    95.239555,      0.890000
                1754522100,           2025-08-06 23:15:00,           2025-08-06 17:15:00,      3.510000,     12.144000,          7.905000,                    95.476648,      0.890000
                1754522700,           2025-08-06 23:25:00,           2025-08-06 17:25:00,      3.510000,     12.179000,          7.912000,                    95.638013,      0.889000
                1754523300,           2025-08-06 23:35:00,           2025-08-06 17:35:00,      3.510000,     12.179000,          7.909000,                    95.601750,      0.890000
                1754523900,           2025-08-06 23:45:00,           2025-08-06 17:45:00,      3.510000,     12.188000,          7.885000,                    95.331334,      0.889000
                1754524500,           2025-08-06 23:55:00,           2025-08-06 17:55:00,      3.510000,     12.197000,          7.888000,                    95.387302,      0.889000
                1754525100,           2025-08-07 00:05:00,           2025-08-06 18:05:00,      3.510000,     12.206000,          7.868000,                    95.165096,      0.890000
                1754525700,           2025-08-07 00:15:00,           2025-08-06 18:15:00,      3.510000,     12.215000,          7.827000,                    94.688740,      0.889000
                1754526300,           2025-08-07 00:25:00,           2025-08-06 18:25:00,      3.510000,     12.215000,          7.807000,                    94.446786,      0.889000
                1754526900,           2025-08-07 00:35:00,           2025-08-06 18:35:00,      3.510000,     12.188000,          7.810000,                    94.424568,      0.890000
                1754527500,           2025-08-07 00:45:00,           2025-08-06 18:45:00,      3.510000,     12.161000,          7.802000,                    94.269404,      0.889000
