MiniDOT Logger Concatenated Data File
Sensor:             7450-860130
Concatenation Date: 2026Jun08 14:24:45 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1746.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1755275640,           2025-08-15 16:34:00,           2025-08-15 10:34:00,      3.530000,     12.335000,          8.310000,                    96.284213,      1.001000
                1755276240,           2025-08-15 16:44:00,           2025-08-15 10:44:00,      3.540000,     11.864000,          8.512000,                    97.565346,      1.000000
                1755276840,           2025-08-15 16:54:00,           2025-08-15 10:54:00,      3.540000,     11.855000,          8.531000,                    97.762868,      1.000000
                1755277440,           2025-08-15 17:04:00,           2025-08-15 11:04:00,      3.530000,     11.988000,          8.518000,                    97.912919,      0.999000
                1755278040,           2025-08-15 17:14:00,           2025-08-15 11:14:00,      3.530000,     12.122000,          8.465000,                    97.603335,      0.999000
                1755278640,           2025-08-15 17:24:00,           2025-08-15 11:24:00,      3.530000,     12.282000,          8.469000,                    98.007723,      0.999000
                1755279240,           2025-08-15 17:34:00,           2025-08-15 11:34:00,      3.530000,     12.441000,          8.477000,                    98.457006,      0.999000
                1755279840,           2025-08-15 17:44:00,           2025-08-15 11:44:00,      3.540000,     12.609000,          8.398000,                    97.913198,      0.999000
                1755280440,           2025-08-15 17:54:00,           2025-08-15 11:54:00,      3.530000,     12.777000,          8.394000,                    98.240500,      0.999000
                1755281040,           2025-08-15 18:04:00,           2025-08-15 12:04:00,      3.530000,     12.953000,          8.360000,                    98.233129,      0.999000
                1755281640,           2025-08-15 18:14:00,           2025-08-15 12:14:00,      3.530000,     13.155000,          8.347000,                    98.528424,      0.999000
                1755282240,           2025-08-15 18:24:00,           2025-08-15 12:24:00,      3.530000,     13.321000,          8.302000,                    98.363848,      0.999000
                1755282840,           2025-08-15 18:34:00,           2025-08-15 12:34:00,      3.530000,     13.523000,          8.242000,                    98.096318,      0.998000
                1755283440,           2025-08-15 18:44:00,           2025-08-15 12:44:00,      3.530000,     13.662000,          8.261000,                    98.628547,      0.998000
                1755284040,           2025-08-15 18:54:00,           2025-08-15 12:54:00,      3.530000,     13.802000,          8.240000,                    98.685583,      0.999000
                1755284640,           2025-08-15 19:04:00,           2025-08-15 13:04:00,      3.530000,     13.959000,          8.220000,                    98.790639,      0.999000
                1755285240,           2025-08-15 19:14:00,           2025-08-15 13:14:00,      3.530000,     14.158000,          8.138000,                    98.237986,      0.998000
                1755285840,           2025-08-15 19:24:00,           2025-08-15 13:24:00,      3.530000,     14.332000,          8.147000,                    98.725922,      0.998000
                1755286440,           2025-08-15 19:34:00,           2025-08-15 13:34:00,      3.530000,     14.540000,          8.107000,                    98.692872,      0.998000
                1755287040,           2025-08-15 19:44:00,           2025-08-15 13:44:00,      3.530000,     14.721000,          8.046000,                    98.340785,      0.998000
                1755287640,           2025-08-15 19:54:00,           2025-08-15 13:54:00,      3.530000,     14.954000,          7.988000,                    98.131556,      0.998000
                1755288240,           2025-08-15 20:04:00,           2025-08-15 14:04:00,      3.530000,     15.178000,          7.997000,                    98.723645,      0.998000
                1755288840,           2025-08-15 20:14:00,           2025-08-15 14:14:00,      3.530000,     15.401000,          7.991000,                    99.129190,      0.998000
                1755289440,           2025-08-15 20:24:00,           2025-08-15 14:24:00,      3.520000,     15.598000,          7.949000,                    99.030140,      0.998000
                1755290040,           2025-08-15 20:34:00,           2025-08-15 14:34:00,      3.530000,     15.752000,          7.881000,                    98.510342,      0.998000
                1755290640,           2025-08-15 20:44:00,           2025-08-15 14:44:00,      3.530000,     15.898000,          7.883000,                    98.846032,      0.998000
                1755291240,           2025-08-15 20:54:00,           2025-08-15 14:54:00,      3.530000,     16.009000,          7.876000,                    98.994427,      0.998000
                1755291840,           2025-08-15 21:04:00,           2025-08-15 15:04:00,      3.530000,     16.128000,          7.824000,                    98.592511,      0.998000
                1755292440,           2025-08-15 21:14:00,           2025-08-15 15:14:00,      3.530000,     16.265000,          7.762000,                    98.098887,      0.998000
                1755293040,           2025-08-15 21:24:00,           2025-08-15 15:24:00,      3.520000,     16.376000,          7.741000,                    98.066074,      0.997000
                1755293640,           2025-08-15 21:34:00,           2025-08-15 15:34:00,      3.520000,     16.469000,          7.736000,                    98.197591,      0.998000
                1755294240,           2025-08-15 21:44:00,           2025-08-15 15:44:00,      3.520000,     16.546000,          7.758000,                    98.638719,      0.998000
                1755294840,           2025-08-15 21:54:00,           2025-08-15 15:54:00,      3.520000,     16.571000,          7.698000,                    97.928016,      0.998000
                1755295440,           2025-08-15 22:04:00,           2025-08-15 16:04:00,      3.520000,     16.580000,          7.660000,                    97.463297,      0.998000
                1755296040,           2025-08-15 22:14:00,           2025-08-15 16:14:00,      3.520000,     16.520000,          7.662000,                    97.364144,      0.998000
                1755296640,           2025-08-15 22:24:00,           2025-08-15 16:24:00,      3.520000,     16.461000,          7.705000,                    97.787391,      0.998000
                1755297240,           2025-08-15 22:34:00,           2025-08-15 16:34:00,      3.520000,     16.376000,          7.724000,                    97.850711,      0.998000
                1755297840,           2025-08-15 22:44:00,           2025-08-15 16:44:00,      3.520000,     16.401000,          7.749000,                    98.219881,      0.998000
                1755298440,           2025-08-15 22:54:00,           2025-08-15 16:54:00,      3.520000,     16.418000,          7.728000,                    97.989282,      0.998000
                1755299040,           2025-08-15 23:04:00,           2025-08-15 17:04:00,      3.520000,     16.435000,          7.702000,                    97.695072,      0.998000
                1755299640,           2025-08-15 23:14:00,           2025-08-15 17:14:00,      3.520000,     16.435000,          7.686000,                    97.492122,      0.998000
                1755300240,           2025-08-15 23:24:00,           2025-08-15 17:24:00,      3.520000,     16.401000,          7.609000,                    96.445357,      0.997000
                1755300840,           2025-08-15 23:34:00,           2025-08-15 17:34:00,      3.520000,     16.359000,          7.616000,                    96.447468,      0.998000
                1755301440,           2025-08-15 23:44:00,           2025-08-15 17:44:00,      3.520000,     16.316000,          7.590000,                    96.029855,      0.998000
                1755302040,           2025-08-15 23:54:00,           2025-08-15 17:54:00,      3.520000,     16.248000,          7.633000,                    96.433426,      0.998000
                1755302640,           2025-08-16 00:04:00,           2025-08-15 18:04:00,      3.520000,     16.214000,          7.574000,                    95.618362,      0.998000
                1755303240,           2025-08-16 00:14:00,           2025-08-15 18:14:00,      3.520000,     16.163000,          7.624000,                    96.144414,      0.998000
                1755303840,           2025-08-16 00:24:00,           2025-08-15 18:24:00,      3.520000,     16.128000,          7.686000,                    96.853533,      0.998000
                1755304440,           2025-08-16 00:34:00,           2025-08-15 18:34:00,      3.520000,     16.094000,          7.684000,                    96.757692,      0.997000
                1755305040,           2025-08-16 00:44:00,           2025-08-15 18:44:00,      3.520000,     16.043000,          7.689000,                    96.714652,      0.998000
                1755305640,           2025-08-16 00:54:00,           2025-08-15 18:54:00,      3.520000,     16.000000,          7.681000,                    96.524768,      0.998000
                1755306240,           2025-08-16 01:04:00,           2025-08-15 19:04:00,      3.520000,     15.975000,          7.719000,                    96.950161,      0.998000
                1755306840,           2025-08-16 01:14:00,           2025-08-15 19:14:00,      3.520000,     15.932000,          7.707000,                    96.709916,      0.998000
                1755307440,           2025-08-16 01:24:00,           2025-08-15 19:24:00,      3.520000,     15.881000,          7.684000,                    96.315468,      0.998000
                1755308040,           2025-08-16 01:34:00,           2025-08-15 19:34:00,      3.520000,     15.829000,          7.618000,                    95.381233,      0.998000
                1755308640,           2025-08-16 01:44:00,           2025-08-15 19:44:00,      3.520000,     15.752000,          7.702000,                    96.272891,      0.998000
                1755309240,           2025-08-16 01:54:00,           2025-08-15 19:54:00,      3.520000,     15.650000,          7.704000,                    96.085908,      0.998000
                1755309840,           2025-08-16 02:04:00,           2025-08-15 20:04:00,      3.520000,     15.590000,          7.675000,                    95.600043,      0.998000
                1755310440,           2025-08-16 02:14:00,           2025-08-15 20:14:00,      3.520000,     15.487000,          7.699000,                    95.685259,      0.997000
                1755311040,           2025-08-16 02:24:00,           2025-08-15 20:24:00,      3.520000,     15.410000,          7.770000,                    96.406496,      0.998000
                1755311640,           2025-08-16 02:34:00,           2025-08-15 20:34:00,      3.520000,     15.315000,          7.780000,                    96.331564,      0.997000
                1755312240,           2025-08-16 02:44:00,           2025-08-15 20:44:00,      3.520000,     15.212000,          7.822000,                    96.634796,      0.998000
                1755312840,           2025-08-16 02:54:00,           2025-08-15 20:54:00,      3.520000,     15.135000,          7.833000,                    96.608465,      0.998000
                1755313440,           2025-08-16 03:04:00,           2025-08-15 21:04:00,      3.520000,     15.075000,          7.824000,                    96.371246,      0.997000
                1755314040,           2025-08-16 03:14:00,           2025-08-15 21:14:00,      3.520000,     14.997000,          7.873000,                    96.809752,      0.997000
                1755314640,           2025-08-16 03:24:00,           2025-08-15 21:24:00,      3.520000,     14.945000,          7.900000,                    97.031388,      0.998000
                1755315240,           2025-08-16 03:34:00,           2025-08-15 21:34:00,      3.520000,     14.868000,          7.913000,                    97.027421,      0.998000
                1755315840,           2025-08-16 03:44:00,           2025-08-15 21:44:00,      3.520000,     14.773000,          7.931000,                    97.045879,      0.998000
                1755316440,           2025-08-16 03:54:00,           2025-08-15 21:54:00,      3.520000,     14.721000,          7.939000,                    97.032997,      0.997000
                1755317040,           2025-08-16 04:04:00,           2025-08-15 22:04:00,      3.520000,     14.635000,          7.965000,                    97.167047,      0.997000
                1755317640,           2025-08-16 04:14:00,           2025-08-15 22:14:00,      3.510000,     14.574000,          7.979000,                    97.207342,      0.997000
                1755318240,           2025-08-16 04:24:00,           2025-08-15 22:24:00,      3.520000,     14.505000,          7.997000,                    97.278747,      0.997000
                1755318840,           2025-08-16 04:34:00,           2025-08-15 22:34:00,      3.520000,     14.453000,          8.007000,                    97.288839,      0.998000
                1755319440,           2025-08-16 04:44:00,           2025-08-15 22:44:00,      3.520000,     14.384000,          8.018000,                    97.274320,      0.997000
                1755320040,           2025-08-16 04:54:00,           2025-08-15 22:54:00,      3.520000,     14.306000,          8.039000,                    97.361223,      0.998000
                1755320640,           2025-08-16 05:04:00,           2025-08-15 23:04:00,      3.520000,     14.254000,          8.053000,                    97.418712,      0.998000
                1755321240,           2025-08-16 05:14:00,           2025-08-15 23:14:00,      3.520000,     14.193000,          8.067000,                    97.456423,      0.997000
                1755321840,           2025-08-16 05:24:00,           2025-08-15 23:24:00,      3.520000,     14.124000,          8.081000,                    97.476438,      0.998000
                1755322440,           2025-08-16 05:34:00,           2025-08-15 23:34:00,      3.520000,     14.106000,          8.086000,                    97.497836,      0.998000
                1755323040,           2025-08-16 05:44:00,           2025-08-15 23:44:00,      3.520000,     14.054000,          8.095000,                    97.493832,      0.998000
                1755323640,           2025-08-16 05:54:00,           2025-08-15 23:54:00,      3.520000,     13.993000,          8.108000,                    97.518233,      0.998000
                1755324240,           2025-08-16 06:04:00,           2025-08-16 00:04:00,      3.520000,     13.941000,          8.114000,                    97.477684,      0.998000
                1755324840,           2025-08-16 06:14:00,           2025-08-16 00:14:00,      3.520000,     13.898000,          8.119000,                    97.444514,      0.997000
                1755325440,           2025-08-16 06:24:00,           2025-08-16 00:24:00,      3.520000,     13.880000,          8.124000,                    97.465477,      0.997000
                1755326040,           2025-08-16 06:34:00,           2025-08-16 00:34:00,      3.520000,     13.811000,          8.142000,                    97.531453,      0.998000
                1755326640,           2025-08-16 06:44:00,           2025-08-16 00:44:00,      3.520000,     13.767000,          8.145000,                    97.471750,      0.997000
