MiniDOT Logger Concatenated Data File
Sensor:             7392-192904
Concatenation Date: 2026May26 15:31:58 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 2210.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1754352480,           2025-08-05 00:08:00,           2025-08-04 18:08:00,      3.510000,     10.507000,          7.885000,                    92.841651,      1.016000
                1754353080,           2025-08-05 00:18:00,           2025-08-04 18:18:00,      3.500000,      9.876000,          8.119000,                    94.174814,      1.019000
                1754353680,           2025-08-05 00:28:00,           2025-08-04 18:28:00,      3.500000,      9.719000,          8.242000,                    95.243289,      1.021000
                1754354280,           2025-08-05 00:38:00,           2025-08-04 18:38:00,      3.500000,      9.655000,          8.292000,                    95.674271,      1.021000
                1754354880,           2025-08-05 00:48:00,           2025-08-04 18:48:00,      3.500000,      9.627000,          8.293000,                    95.621591,      1.021000
                1754355480,           2025-08-05 00:58:00,           2025-08-04 18:58:00,      3.500000,      9.581000,          8.294000,                    95.527635,      1.022000
                1754356080,           2025-08-05 01:08:00,           2025-08-04 19:08:00,      3.500000,      9.553000,          8.231000,                    94.738316,      1.020000
                1754356680,           2025-08-05 01:18:00,           2025-08-04 19:18:00,      3.500000,      9.516000,          8.218000,                    94.504656,      1.021000
                1754357280,           2025-08-05 01:28:00,           2025-08-04 19:28:00,      3.500000,      9.479000,          8.188000,                    94.075962,      1.020000
                1754357880,           2025-08-05 01:38:00,           2025-08-04 19:38:00,      3.500000,      9.461000,          8.192000,                    94.081188,      1.021000
                1754358480,           2025-08-05 01:48:00,           2025-08-04 19:48:00,      3.490000,      9.424000,          8.161000,                    93.641772,      1.020000
                1754359080,           2025-08-05 01:58:00,           2025-08-04 19:58:00,      3.490000,      9.387000,          8.171000,                    93.673038,      1.021000
                1754359680,           2025-08-05 02:08:00,           2025-08-04 20:08:00,      3.490000,      9.359000,          8.172000,                    93.621337,      1.021000
                1754360280,           2025-08-05 02:18:00,           2025-08-04 20:18:00,      3.490000,      9.368000,          8.164000,                    93.549968,      1.021000
                1754360880,           2025-08-05 02:28:00,           2025-08-04 20:28:00,      3.490000,      9.276000,          8.180000,                    93.525636,      1.020000
                1754361480,           2025-08-05 02:38:00,           2025-08-04 20:38:00,      3.490000,      9.276000,          8.191000,                    93.651404,      1.021000
                1754362080,           2025-08-05 02:48:00,           2025-08-04 20:48:00,      3.490000,      9.238000,          8.185000,                    93.497011,      1.021000
                1754362680,           2025-08-05 02:58:00,           2025-08-04 20:58:00,      3.490000,      9.201000,          8.181000,                    93.367847,      1.021000
                1754363280,           2025-08-05 03:08:00,           2025-08-04 21:08:00,      3.490000,      9.173000,          8.180000,                    93.293287,      1.021000
                1754363880,           2025-08-05 03:18:00,           2025-08-04 21:18:00,      3.490000,      9.155000,          8.196000,                    93.435101,      1.021000
                1754364480,           2025-08-05 03:28:00,           2025-08-04 21:28:00,      3.490000,      9.118000,          8.187000,                    93.249014,      1.021000
                1754365080,           2025-08-05 03:38:00,           2025-08-04 21:38:00,      3.490000,      9.099000,          8.203000,                    93.388306,      1.021000
                1754365680,           2025-08-05 03:48:00,           2025-08-04 21:48:00,      3.480000,      9.053000,          8.207000,                    93.329841,      1.021000
                1754366280,           2025-08-05 03:58:00,           2025-08-04 21:58:00,      3.480000,      9.043000,          8.210000,                    93.341343,      1.022000
                1754366880,           2025-08-05 04:08:00,           2025-08-04 22:08:00,      3.480000,      9.006000,          8.221000,                    93.382637,      1.022000
                1754367480,           2025-08-05 04:18:00,           2025-08-04 22:18:00,      3.480000,      8.978000,          8.212000,                    93.217097,      1.020000
                1754368080,           2025-08-05 04:28:00,           2025-08-04 22:28:00,      3.480000,      8.969000,          8.224000,                    93.332937,      1.021000
                1754368680,           2025-08-05 04:38:00,           2025-08-04 22:38:00,      3.480000,      8.922000,          8.248000,                    93.498610,      1.021000
                1754369280,           2025-08-05 04:48:00,           2025-08-04 22:48:00,      3.480000,      8.903000,          8.249000,                    93.466817,      1.021000
                1754369880,           2025-08-05 04:58:00,           2025-08-04 22:58:00,      3.480000,      8.885000,          8.260000,                    93.550546,      1.021000
                1754370480,           2025-08-05 05:08:00,           2025-08-04 23:08:00,      3.480000,      8.857000,          8.257000,                    93.452967,      1.022000
                1754371080,           2025-08-05 05:18:00,           2025-08-04 23:18:00,      3.470000,      8.829000,          8.263000,                    93.457239,      1.021000
                1754371680,           2025-08-05 05:28:00,           2025-08-04 23:28:00,      3.470000,      8.829000,          8.267000,                    93.502481,      1.022000
                1754372280,           2025-08-05 05:38:00,           2025-08-04 23:38:00,      3.470000,      8.782000,          8.290000,                    93.655480,      1.022000
                1754372880,           2025-08-05 05:48:00,           2025-08-04 23:48:00,      3.470000,      8.773000,          8.271000,                    93.420365,      1.022000
                1754373480,           2025-08-05 05:58:00,           2025-08-04 23:58:00,      3.470000,      8.735000,          8.274000,                    93.367825,      1.021000
                1754374080,           2025-08-05 06:08:00,           2025-08-05 00:08:00,      3.470000,      8.670000,          8.305000,                    93.569313,      1.021000
                1754374680,           2025-08-05 06:18:00,           2025-08-05 00:18:00,      3.470000,      8.698000,          8.288000,                    93.441538,      1.021000
                1754375280,           2025-08-05 06:28:00,           2025-08-05 00:28:00,      3.470000,      8.679000,          8.298000,                    93.510964,      1.022000
                1754375880,           2025-08-05 06:38:00,           2025-08-05 00:38:00,      3.470000,      8.651000,          8.296000,                    93.424615,      1.021000
                1754376480,           2025-08-05 06:48:00,           2025-08-05 00:48:00,      3.470000,      8.614000,          8.319000,                    93.599091,      1.021000
                1754377080,           2025-08-05 06:58:00,           2025-08-05 00:58:00,      3.470000,      8.595000,          8.330000,                    93.679396,      1.022000
                1754377680,           2025-08-05 07:08:00,           2025-08-05 01:08:00,      3.470000,      8.567000,          8.336000,                    93.682792,      1.022000
                1754378280,           2025-08-05 07:18:00,           2025-08-05 01:18:00,      3.470000,      8.548000,          8.332000,                    93.594383,      1.022000
                1754378880,           2025-08-05 07:28:00,           2025-08-05 01:28:00,      3.470000,      8.520000,          8.339000,                    93.608933,      1.022000
                1754379480,           2025-08-05 07:38:00,           2025-08-05 01:38:00,      3.460000,      8.482000,          8.333000,                    93.454694,      1.021000
