MiniDOT Logger Concatenated Data File
Sensor:             7392-245658
Concatenation Date: 2026May26 15:32:29 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1957.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1754501520,           2025-08-06 17:32:00,           2025-08-06 11:32:00,      3.460000,     10.463000,          8.579000,                    97.732439,      0.959000
                1754502120,           2025-08-06 17:42:00,           2025-08-06 11:42:00,      3.460000,      9.759000,          8.792000,                    98.498185,      0.962000
                1754502720,           2025-08-06 17:52:00,           2025-08-06 11:52:00,      3.460000,      9.750000,          8.822000,                    98.813025,      0.963000
                1754503320,           2025-08-06 18:02:00,           2025-08-06 12:02:00,      3.460000,      9.787000,          8.860000,                    99.326416,      0.964000
                1754503920,           2025-08-06 18:12:00,           2025-08-06 12:12:00,      3.460000,      9.824000,          8.885000,                    99.694714,      0.964000
                1754504520,           2025-08-06 18:22:00,           2025-08-06 12:22:00,      3.460000,      9.888000,          8.903000,                   100.049314,      0.964000
                1754505120,           2025-08-06 18:32:00,           2025-08-06 12:32:00,      3.460000,      9.943000,          8.921000,                   100.383076,      0.964000
                1754505720,           2025-08-06 18:42:00,           2025-08-06 12:42:00,      3.460000,     10.025000,          8.905000,                   100.398802,      0.963000
                1754506320,           2025-08-06 18:52:00,           2025-08-06 12:52:00,      3.460000,     10.117000,          8.923000,                   100.821950,      0.964000
                1754506920,           2025-08-06 19:02:00,           2025-08-06 13:02:00,      3.460000,     10.171000,          8.945000,                   101.200164,      0.964000
                1754507520,           2025-08-06 19:12:00,           2025-08-06 13:12:00,      3.460000,     10.199000,          8.958000,                   101.414573,      0.964000
                1754508120,           2025-08-06 19:22:00,           2025-08-06 13:22:00,      3.460000,     10.290000,          8.951000,                   101.554071,      0.964000
                1754508720,           2025-08-06 19:32:00,           2025-08-06 13:32:00,      3.460000,     10.326000,          8.954000,                   101.674709,      0.964000
