MiniDOT Logger Concatenated Data File
Sensor:             7392-609755
Concatenation Date: 2026May26 15:31:12 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 1725.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1755192960,           2025-08-14 17:36:00,           2025-08-14 11:36:00,      3.520000,     16.211000,          8.226000,                   103.568119,      0.981000
                1755193560,           2025-08-14 17:46:00,           2025-08-14 11:46:00,      3.510000,     15.614000,          8.436000,                   104.855719,      0.987000
                1755194160,           2025-08-14 17:56:00,           2025-08-14 11:56:00,      3.510000,     15.699000,          8.445000,                   105.160635,      0.989000
                1755194760,           2025-08-14 18:06:00,           2025-08-14 12:06:00,      3.510000,     15.913000,          8.436000,                   105.534480,      0.990000
                1755195360,           2025-08-14 18:16:00,           2025-08-14 12:16:00,      3.510000,     16.160000,          8.405000,                   105.706170,      0.990000
                1755195960,           2025-08-14 18:26:00,           2025-08-14 12:26:00,      3.510000,     16.433000,          8.352000,                   105.654989,      0.990000
                1755196560,           2025-08-14 18:36:00,           2025-08-14 12:36:00,      3.510000,     16.713000,          8.311000,                   105.765344,      0.990000
                1755197160,           2025-08-14 18:46:00,           2025-08-14 12:46:00,      3.510000,     16.959000,          8.276000,                   105.871038,      0.990000
                1755197760,           2025-08-14 18:56:00,           2025-08-14 12:56:00,      3.510000,     17.222000,          8.230000,                   105.869312,      0.990000
                1755198360,           2025-08-14 19:06:00,           2025-08-14 13:06:00,      3.510000,     17.535000,          8.169000,                   105.778814,      0.990000
                1755198960,           2025-08-14 19:16:00,           2025-08-14 13:16:00,      3.510000,     17.780000,          8.160000,                   106.205886,      0.991000
                1755199560,           2025-08-14 19:26:00,           2025-08-14 13:26:00,      3.510000,     18.058000,          8.100000,                   106.038133,      0.990000
                1755200160,           2025-08-14 19:36:00,           2025-08-14 13:36:00,      3.510000,     18.353000,          8.061000,                   106.176132,      0.990000
                1755200760,           2025-08-14 19:46:00,           2025-08-14 13:46:00,      3.500000,     18.613000,          8.011000,                   106.086477,      0.990000
                1755201360,           2025-08-14 19:56:00,           2025-08-14 13:56:00,      3.500000,     18.865000,          7.973000,                   106.132833,      0.990000
                1755201960,           2025-08-14 20:06:00,           2025-08-14 14:06:00,      3.510000,     19.117000,          7.926000,                   106.054282,      0.990000
                1755202560,           2025-08-14 20:16:00,           2025-08-14 14:16:00,      3.510000,     19.369000,          7.890000,                   106.117944,      0.990000
                1755203160,           2025-08-14 20:26:00,           2025-08-14 14:26:00,      3.510000,     19.603000,          7.864000,                   106.273667,      0.990000
                1755203760,           2025-08-14 20:36:00,           2025-08-14 14:36:00,      3.500000,     19.804000,          7.817000,                   106.070575,      0.990000
                1755204360,           2025-08-14 20:46:00,           2025-08-14 14:46:00,      3.490000,     19.980000,          7.788000,                   106.054382,      0.990000
                1755204960,           2025-08-14 20:56:00,           2025-08-14 14:56:00,      3.500000,     20.173000,          7.757000,                   106.044769,      0.990000
                1755205560,           2025-08-14 21:06:00,           2025-08-14 15:06:00,      3.500000,     20.331000,          7.714000,                   105.793102,      0.989000
                1755206160,           2025-08-14 21:16:00,           2025-08-14 15:16:00,      3.500000,     20.465000,          7.721000,                   106.174709,      0.992000
                1755206760,           2025-08-14 21:26:00,           2025-08-14 15:26:00,      3.500000,     20.599000,          7.664000,                   105.674587,      0.990000
                1755207360,           2025-08-14 21:36:00,           2025-08-14 15:36:00,      3.490000,     20.758000,          7.650000,                   105.817851,      0.992000
                1755207960,           2025-08-14 21:46:00,           2025-08-14 15:46:00,      3.500000,     20.850000,          7.617000,                   105.555269,      0.991000
                1755208560,           2025-08-14 21:56:00,           2025-08-14 15:56:00,      3.500000,     20.917000,          7.578000,                   105.155353,      0.991000
                1755209160,           2025-08-14 22:06:00,           2025-08-14 16:06:00,      3.500000,     20.967000,          7.542000,                   104.760220,      0.990000
                1755209760,           2025-08-14 22:16:00,           2025-08-14 16:16:00,      3.500000,     21.025000,          7.525000,                   104.644973,      0.990000
                1755210360,           2025-08-14 22:26:00,           2025-08-14 16:26:00,      3.490000,     21.067000,          7.511000,                   104.537686,      0.991000
                1755210960,           2025-08-14 22:36:00,           2025-08-14 16:36:00,      3.480000,     21.134000,          7.508000,                   104.635345,      0.992000
                1755211560,           2025-08-14 22:46:00,           2025-08-14 16:46:00,      3.500000,     21.075000,          7.489000,                   104.248093,      0.991000
                1755212160,           2025-08-14 22:56:00,           2025-08-14 16:56:00,      3.500000,     20.825000,          7.450000,                   103.189466,      0.991000
                1755212760,           2025-08-14 23:06:00,           2025-08-14 17:06:00,      3.500000,     20.691000,          7.430000,                   102.637051,      0.992000
